"","study_area","subsite","plot","year","SiteSubsitePlotYear","SiteSubsitePlot","lat","long","elevation","ecosystem","exstart","soil_moisture","treatment","mean.doy","year_index"
"30","Atqasuk","Dry Heath","ADE06",1998,"Atqasuk : Dry Heath : ADE06 : 1998","Atqasuk : Dry Heath : ADE06",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",155.333333333333,"5"
"31","Atqasuk","Dry Heath","ADE07",1998,"Atqasuk : Dry Heath : ADE07 : 1998","Atqasuk : Dry Heath : ADE07",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",156.25,"5"
"32","Atqasuk","Dry Heath","ADE08",1998,"Atqasuk : Dry Heath : ADE08 : 1998","Atqasuk : Dry Heath : ADE08",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",155.6,"5"
"33","Atqasuk","Dry Heath","ADE09",1998,"Atqasuk : Dry Heath : ADE09 : 1998","Atqasuk : Dry Heath : ADE09",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",155.5,"5"
"34","Atqasuk","Dry Heath","ADE10",1998,"Atqasuk : Dry Heath : ADE10 : 1998","Atqasuk : Dry Heath : ADE10",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",155.75,"5"
"35","Atqasuk","Dry Heath","ADE11",1998,"Atqasuk : Dry Heath : ADE11 : 1998","Atqasuk : Dry Heath : ADE11",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",155,"5"
"36","Atqasuk","Dry Heath","ADE12",1998,"Atqasuk : Dry Heath : ADE12 : 1998","Atqasuk : Dry Heath : ADE12",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",156.5,"5"
"37","Atqasuk","Dry Heath","ADE13",1998,"Atqasuk : Dry Heath : ADE13 : 1998","Atqasuk : Dry Heath : ADE13",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",156.5,"5"
"38","Atqasuk","Dry Heath","ADE14",1998,"Atqasuk : Dry Heath : ADE14 : 1998","Atqasuk : Dry Heath : ADE14",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",155.666666666667,"5"
"39","Atqasuk","Dry Heath","ADE15",1998,"Atqasuk : Dry Heath : ADE15 : 1998","Atqasuk : Dry Heath : ADE15",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",155.5,"5"
"40","Atqasuk","Dry Heath","ADE16",1998,"Atqasuk : Dry Heath : ADE16 : 1998","Atqasuk : Dry Heath : ADE16",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",155.25,"5"
"41","Atqasuk","Dry Heath","ADE17",1998,"Atqasuk : Dry Heath : ADE17 : 1998","Atqasuk : Dry Heath : ADE17",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",155,"5"
"42","Atqasuk","Dry Heath","ADE18",1998,"Atqasuk : Dry Heath : ADE18 : 1998","Atqasuk : Dry Heath : ADE18",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",155.5,"5"
"43","Atqasuk","Dry Heath","ADE19",1998,"Atqasuk : Dry Heath : ADE19 : 1998","Atqasuk : Dry Heath : ADE19",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",155.25,"5"
"44","Atqasuk","Dry Heath","ADE20",1998,"Atqasuk : Dry Heath : ADE20 : 1998","Atqasuk : Dry Heath : ADE20",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",155,"5"
"45","Atqasuk","Dry Heath","ADE21",1998,"Atqasuk : Dry Heath : ADE21 : 1998","Atqasuk : Dry Heath : ADE21",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",155.5,"5"
"46","Atqasuk","Dry Heath","ADE22",1998,"Atqasuk : Dry Heath : ADE22 : 1998","Atqasuk : Dry Heath : ADE22",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",155,"5"
"47","Atqasuk","Dry Heath","ADE23",1998,"Atqasuk : Dry Heath : ADE23 : 1998","Atqasuk : Dry Heath : ADE23",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",155,"5"
"48","Atqasuk","Dry Heath","ADE24",1998,"Atqasuk : Dry Heath : ADE24 : 1998","Atqasuk : Dry Heath : ADE24",70.45,-157.4,22,"Low arctic",1996,"dry","OTC",155.5,"5"
