"","cell_ID","latitude","longitude","long","lat","biomass","gridcell"
"1757",100210,69.681560121,-142.932125926,-142.5,69.5,384.016998291016,"_69.5_-142.5"
"1758",98907,69.689930121,-143.666837926,-143.5,69.5,386.274627685547,"_69.5_-143.5"
"1759",51625,70.016360121,-144.090095926,-144,70,177.542617797852,"_70_-144"
"1760",51737,70.016360121,-143.195663926,-143,70,149.802780151367,"_70_-143"
"1761",84439,69.790370121,-143.155733926,-143,69.5,278.077606201172,"_69.5_-143"
"1762",97930,69.698300121,-141.798113926,-141.5,69.5,116.496452331543,"_69.5_-141.5"
"1763",79377,69.823850121,-144.896681926,-144.5,69.5,409.964233398438,"_69.5_-144.5"
"1764",62306,69.941030121,-145.831043926,-145.5,69.5,312.549591064453,"_69.5_-145.5"
"1765",75626,69.848960121,-145.839029926,-145.5,69.5,338.580963134766,"_69.5_-145.5"
"1766",114544,69.581120121,-144.513353926,-144.5,69.5,270.530242919922,"_69.5_-144.5"
"1767",124662,69.514160121,-141.079373926,-141,69.5,619.653625488281,"_69.5_-141"
"1768",89056,69.756890121,-144.968555926,-144.5,69.5,495.610382080078,"_69.5_-144.5"
"1769",91710,69.740150121,-143.115803926,-143,69.5,309.344207763672,"_69.5_-143"
"1770",105004,69.648080121,-143.331425926,-143,69.5,353.730987548828,"_69.5_-143"
"1771",86603,69.773630121,-145.216121926,-145,69.5,219.433303833008,"_69.5_-145"
"1772",93049,69.731780121,-142.093595926,-142,69.5,106.258544921875,"_69.5_-142"
"1773",67443,69.907550121,-143.491145926,-143,69.5,196.762741088867,"_69.5_-143"
"1774",103733,69.656450121,-143.810585926,-143.5,69.5,289.999786376953,"_69.5_-143.5"
"1775",89026,69.756890121,-145.208135926,-145,69.5,365.994659423828,"_69.5_-145"
"1776",95096,69.715040121,-145.088345926,-145,69.5,330.044891357422,"_69.5_-145"
"1777",104022,69.656450121,-141.502631926,-141.5,69.5,150.470031738281,"_69.5_-141.5"
"1778",105860,69.639710121,-146.166455926,-146,69.5,302.349243164062,"_69.5_-146"
"1779",86647,69.773630121,-144.864737926,-144.5,69.5,478.846771240234,"_69.5_-144.5"
"1780",126676,69.497420121,-144.337661926,-144,69,199.222625732422,"_69_-144"
"1781",75718,69.848960121,-145.104317926,-145,69.5,345.297760009766,"_69.5_-145"
"1782",73581,69.865700121,-142.828307926,-142.5,69.5,127.236236572266,"_69.5_-142.5"
"1783",132690,69.455570121,-144.665087926,-144.5,69,333.811218261719,"_69_-144.5"
"1784",62432,69.941030121,-144.824807926,-144.5,69.5,190.913177490234,"_69.5_-144.5"
"1785",46890,70.049840121,-143.219621926,-143,70,93.4191589355469,"_70_-143"
"1786",49222,70.033100121,-143.938361926,-143.5,70,146.674057006836,"_70_-143.5"
"1787",44156,70.066580121,-145.711253926,-145.5,70,146.09114074707,"_70_-145.5"
"1788",81865,69.807110121,-144.369605926,-144,69.5,277.05322265625,"_69.5_-144"
"1789",126629,69.497420121,-144.713003926,-144.5,69,196.711242675781,"_69_-144.5"
"1790",86686,69.773630121,-144.553283926,-144.5,69.5,343.232330322266,"_69.5_-144.5"
"1791",48049,70.041470121,-143.634893926,-143.5,70,204.65119934082,"_70_-143.5"
"1792",63910,69.932660121,-142.692545926,-142.5,69.5,175.87287902832,"_69.5_-142.5"
"1793",72177,69.874070121,-144.369605926,-144,69.5,283.829559326172,"_69.5_-144"
"1794",69684,69.890810121,-144.936611926,-144.5,69.5,410.012756347656,"_69.5_-144.5"
"1795",123050,69.522530121,-144.281759926,-144,69.5,370.833312988281,"_69.5_-144"
"1796",117028,69.564380121,-144.018221926,-144,69.5,295.214660644531,"_69.5_-144"
"1797",87862,69.765260121,-144.832793926,-144.5,69.5,174.924224853516,"_69.5_-144.5"
"1798",106087,69.639710121,-144.353633926,-144,69.5,510.507659912109,"_69.5_-144"
"1799",92593,69.731780121,-145.735211926,-145.5,69.5,252.374542236328,"_69.5_-145.5"
"1800",124337,69.514160121,-143.674823926,-143.5,69.5,350.118804931641,"_69.5_-143.5"
"1801",112257,69.597860121,-143.435243926,-143,69.5,383.252044677734,"_69.5_-143"
"1802",103748,69.656450121,-143.690795926,-143.5,69.5,432.477264404297,"_69.5_-143.5"
"1803",60294,69.957770121,-142.556783926,-142.5,69.5,175.31591796875,"_69.5_-142.5"
"1804",58745,69.966140121,-145.256051926,-145,69.5,317.557495117188,"_69.5_-145"
"1805",90282,69.748520121,-144.848765926,-144.5,69.5,216.620101928711,"_69.5_-144.5"
"1806",133891,69.447200121,-144.744947926,-144.5,69,263.022338867188,"_69_-144.5"
"1807",52940,70.007990121,-143.259551926,-143,70,104.91535949707,"_70_-143"
"1808",114890,69.581120121,-141.750197926,-141.5,69.5,368.573516845703,"_69.5_-141.5"
"1809",112270,69.597860121,-143.331425926,-143,69.5,390.729675292969,"_69.5_-143"
"1810",111012,69.606230121,-143.706767926,-143.5,69.5,323.465148925781,"_69.5_-143.5"
"1811",91798,69.740150121,-142.413035926,-142,69.5,220.888809204102,"_69.5_-142"
"1812",99135,69.689930121,-141.846029926,-141.5,69.5,201.345855712891,"_69.5_-141.5"
"1813",84043,69.790370121,-146.318189926,-146,69.5,228.044570922852,"_69.5_-146"
"1814",119382,69.547640121,-144.561269926,-144.5,69.5,171.320907592773,"_69.5_-144.5"
"1815",55388,69.991250121,-143.051915926,-143,69.5,217.140090942383,"_69.5_-143"
"1816",64953,69.924290121,-144.034193926,-144,69.5,161.140518188477,"_69.5_-144"
"1817",47811,70.041470121,-145.535561926,-145.5,70,220.6279296875,"_70_-145.5"
"1818",79372,69.823850121,-144.936611926,-144.5,69.5,303.865844726562,"_69.5_-144.5"
"1819",85329,69.782000121,-145.719239926,-145.5,69.5,363.668914794922,"_69.5_-145.5"
"1820",64961,69.924290121,-143.970305926,-143.5,69.5,253.181747436523,"_69.5_-143.5"
"1821",100393,69.681560121,-141.470687926,-141,69.5,152.738632202148,"_69.5_-141"
"1822",84135,69.790370121,-145.583477926,-145.5,69.5,185.965682983398,"_69.5_-145.5"
"1823",95526,69.715040121,-141.654365926,-141.5,69.5,148.833267211914,"_69.5_-141.5"
"1824",62721,69.941030121,-142.516853926,-142.5,69.5,157.476928710938,"_69.5_-142.5"
"1825",80728,69.815480121,-143.778641926,-143.5,69.5,272.221374511719,"_69.5_-143.5"
"1826",100284,69.681560121,-142.341161926,-142,69.5,251.408920288086,"_69.5_-142"
"1827",73215,69.865700121,-145.751183926,-145.5,69.5,350.819641113281,"_69.5_-145.5"
"1828",98618,69.689930121,-145.974791926,-145.5,69.5,429.526672363281,"_69.5_-145.5"
"1829",73198,69.865700121,-145.886945926,-145.5,69.5,335.901519775391,"_69.5_-145.5"
"1830",114973,69.581120121,-141.087359926,-141,69.5,169.145935058594,"_69.5_-141"
"1831",64906,69.924290121,-144.409535926,-144,69.5,284.781555175781,"_69.5_-144"
